,HR:TT03:TEMPERATURE_OUTSIDE,HR:TT06:TEMPERATURE_LAB_INTAKE,HR:TT01:TEMPERATURE_OUTSIDE_INTAKE,DC01:DAMPER_OUTSIDE_INTAKE,DC02:DAMPER_CROSS,DC03:DAMPER_LAB_INTAKE
2021-10-10 12:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 13:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 14:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 15:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 16:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 17:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 18:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 19:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 20:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 21:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 22:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 23:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-11 00:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-11 01:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-11 02:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-11 03:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-11 04:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-11 05:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-11 06:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-11 07:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-11 08:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-11 09:00:00+02:00,0.6094589108796301,5.157877539351854,3.951676083333332,10.0,0.0,10.0
2021-10-11 10:00:00+02:00,4.166666666666667,7.42513,6.229655,2.5,0.0,2.5
