,HR:TT03:TEMPERATURE_OUTSIDE,HR:TT06:TEMPERATURE_LAB_INTAKE,HR:TT01:TEMPERATURE_OUTSIDE_INTAKE,DC01:DAMPER_OUTSIDE_INTAKE,DC02:DAMPER_CROSS,DC03:DAMPER_LAB_INTAKE
2021-10-10 12:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:05:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:10:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:15:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:20:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:25:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:30:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:35:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:40:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:45:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:50:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:55:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 13:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 13:05:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 13:10:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 13:15:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 13:20:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 13:25:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 13:30:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 13:35:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 13:40:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 13:45:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 13:50:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 13:55:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 14:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 14:05:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 14:10:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 14:15:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 14:20:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 14:25:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 14:30:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 14:35:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 14:40:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 14:45:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 14:50:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 14:55:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 15:00:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 15:05:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 15:10:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 15:15:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 15:20:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 15:25:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 15:30:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 15:35:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 15:40:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 15:45:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 15:50:00+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
