,HR:TT03:TEMPERATURE_OUTSIDE,HR:TT06:TEMPERATURE_LAB_INTAKE,HR:TT01:TEMPERATURE_OUTSIDE_INTAKE,DC01:DAMPER_OUTSIDE_INTAKE,DC02:DAMPER_CROSS,DC03:DAMPER_LAB_INTAKE
2021-10-10 11:57:39.194000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 11:58:13.241000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 11:58:47.289000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 11:59:21.337000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 11:59:55.391000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:00:29.440000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:01:03.476000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:01:37.531000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:02:11.594000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:02:45.629000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:03:19.680000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:03:53.725000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:04:27.778000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:05:01.823000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:05:35.874000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:06:09.908000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:06:43.958000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:07:18.005000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:07:52.064000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:08:26.105000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:09:00.139000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:09:34.180000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:10:08.231000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:10:42.279000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:11:16.346000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:11:50.419000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:12:24.474000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:12:58.522000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:13:32.549000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:14:06.596000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:14:40.652000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:15:14.688000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:15:48.731000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:16:22.793000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:16:56.848000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:17:30.891000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:18:04.940000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:18:38.975000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:19:13.023000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:19:47.067000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:20:21.117000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:20:55.183000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:21:29.217000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:22:03.258000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:22:37.300000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:23:11.337000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:23:45.390000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:24:19.426000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:24:53.494000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
2021-10-10 12:25:27.533000+02:00,17.324219,23.608398,23.671875,10.0,0.0,10.0
